Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Myles Jack,18.38,0,0,0,7,2016,2023,42,106,96,3,46,1,32,18,7.5,634,408,226,23,20
David Thornton,18.38,0,0,0,7,2002,2009,42,121,102,5,24,0,11,25,5,736,566,170,35,4
Mel Owens,18.35,0,0,0,6,1981,1989,42,122,91,4,37,0,26,,26.5,,,,,
Nate Wayne,18.35,1,0,0,4,1998,2005,33,90,63,8,140,0,35,30,16,452,323,129,33,
Greg Buttle,18.3,0,0,0,8,1976,1984,42,110,107,15,215,1,44,,9.5,,,,,
Frank Buncom,18.28,1,0,3,5,1962,1968,39,96,70,5,60,0,26,,6,,,,,
Wayne Simmons,18.28,1,0,0,4,1993,1998,33,90,65,3,21,0,19,,11.5,289,222,67,,
Ron Rivera,18.25,1,0,0,3,1984,1992,33,137,56,9,37,0,15,,7.5,,,,,
Todd Davis,18.23,1,0,0,4,2014,2020,32,96,69,1,20,1,20,15,3,505,315,190,23,12
Gus Otto,18.23,0,0,1,7,1965,1972,46,102,95,6,135,2,68,,15.5,,,,,
Thomas Henderson,18.15,1,0,1,3,1975,1980,29,75,38,4,82,1,79,,13.5,,,,,
Todd Collins,18.13,1,0,0,7,1992,2000,32,106,77,2,15,0,8,5,3.5,435,335,100,7,
Brian Williams,17.98,1,0,0,3,1995,2002,32,81,61,4,90,0,60,2,6,414,279,135,7,
Gary Campbell,17.93,0,0,0,5,1977,1983,41,93,79,4,68,0,32,,12,,,,,
Shaq Thompson,17.93,0,0,0,8,2015,2023,41,119,108,3,51,0,29,26,12,717,451,266,52,31
Jim Purnell,17.85,0,0,0,5,1964,1972,41,115,75,3,34,0,17,,10,,,,,
Pat Hughes,17.8,0,0,0,7,1970,1979,41,141,94,15,101,0,40,,11,,,,,
