Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Tony Greene,26.58,0,1,1,8,1971,1979,50,128,103,37,628,2,101,,1,,,,,
Thom Darden,26.43,0,0,1,9,1972,1981,55,128,124,45,820,2,49,,0,,,,,
Herm Edwards,26.43,0,0,0,9,1977,1986,58,142,135,33,98,1,25,,0,,,,,
Chris Hope,26.43,1,0,1,7,2002,2012,46,163,113,20,367,1,61,50,4,730,563,167,20,7
Dave Elmendorf,26.4,0,0,0,9,1971,1979,58,130,130,27,421,2,57,,5,,,,,
Adam Jones,26.4,0,1,1,6,2005,2018,50,146,104,17,239,2,83,97,3,509,421,88,13,3
Tim Jennings,26.33,1,0,2,6,2006,2015,43,137,98,20,279,3,48,79,0,480,396,84,16,0
Dwayne Woodruff,26.33,1,0,0,8,1979,1990,49,157,105,37,689,3,78,,3,,,,,
Micah Hyde,26.25,0,0,1,7,2013,2023,55,158,128,24,252,1,37,66,5,644,482,162,18,8
Tommy Casanova,26.2,0,1,3,6,1972,1977,43,71,65,17,276,2,33,,2.5,,,,,
Mario Clark,26.2,1,0,0,8,1976,1984,48,126,119,26,438,0,53,,3,,,,,
Brent Alexander,26.18,0,0,0,11,1994,2005,57,192,178,28,253,0,34,64,8,898,657,241,25,
Louis Breeden,26.1,0,1,0,8,1978,1987,52,134,115,33,558,2,102,,4,,,,,
Jeris White,26.1,1,0,0,5,1974,1982,48,129,83,19,165,0,39,,1.5,,,,,
Tashaun Gipson,26.05,0,0,1,10,2012,2023,54,173,165,33,758,3,79,68,2.5,684,492,192,18,7
Roynell Young,26.05,0,0,1,8,1980,1988,54,117,109,23,106,0,33,,0,,,,,
Jamal Adams,26.03,0,1,3,5,2017,2023,43,80,80,4,99,1,61,36,21.5,494,362,132,50,42
Otis Smith,26.03,1,0,0,7,1991,2003,48,180,108,29,645,7,78,44,5.5,523,446,77,8,
Lyle Blackwood,26,0,0,0,7,1973,1986,57,176,104,35,589,2,79,,1,,,,,
Dick Harris,26,1,2,1,3,1960,1965,50,76,51,29,413,5,56,,0,,,,,
Bobby Hunt,25.98,1,1,1,8,1962,1969,55,112,107,42,755,1,66,,1.5,,,,,
Jim Marsalis,25.98,1,1,2,4,1969,1977,38,90,65,15,116,0,36,,1,,,,,
Mike McKenzie,25.98,1,0,0,9,1999,2009,48,138,131,28,433,4,90,122,1,487,413,74,15,0
Shaun Gayle,25.9,1,0,1,7,1984,1995,45,160,108,16,258,2,99,,2,770,744,26,,
